	record_number	catalogue_title	eng_host_item	courier_id	year	publication_date	pages	notes
1596	64809	A Day in the life of... three young people recount the happenings of a typical day	The UNESCO Courier: a window open on the world XXXVIII, 6 p. 18-19, illus. 64833 eng	 64833 eng	1985	1985	[18, 19]	
1597	61521	The Day the river spoke; a short story	The UNESCO Courier: a window open on the world XVII, 4 p. 26-31, illus. 62906 eng	 62906 eng	1964	1964	[26, 27, 28, 29, 30, 31]	
1598	193864	Daycare in Colombia	The UNESCO courier Oct. 2006 p. 6-7, illus. 191574 eng	 191574 eng	2006	2006|Oct. 2006	[6, 7]	Electronic version only
1599	66944	The Days of cultural tribalism are over	The UNESCO Courier: a window open on the world XI, 12 p. 5-6, illus. 78350 eng	 78350 eng	1958	1958	[5, 6]	Published in 4 editions
1600	69833	The Days of our years; has the time come to change our present calendar?	The UNESCO courier VII, 1 p. 28-31, illus. 78140 eng	 78140 eng	1954	1954	[28, 29, 30, 31]	Published in 3 editions
1601	70900	De-forestation and its abuses	The UNESCO Courier V, 1 p. 14-15, illus. 73487 eng	 73487 eng	1952	1952	[14, 15]	Published in 3 editions
1602	216093	De la bomba au blues: entretien avec David Sánchez	Le Courrier de l'UNESCO Numéro spécial, avril 2012 p. 10-11, illus. 216066 fre		2012	2012|Apr. 2012	[10, 11]	Reprinted from: The UNESCO Courier, vol. 50, no. 1, 1997
1603	116257	Dead-end seeds yield a harvest of revolt	The UNESCO courier 52,6 p. 37-39, illus. 116241 eng	 116241 eng	1999	1999|June 1999	[37, 38, 39]	
1604	57264	The Dead land of the withered trees	The UNESCO Courier: a window open on the world XXII, 1 p. 28-33, illus. 57247 eng	 57247 eng	1969	1969	[28, 29, 30, 31, 32, 33]	
1605	44161	The Deadliest weapon of them all?	The UNESCO Courier: a window open on the world XXXII, 4 p. 16-17, illus. 74770 eng	 74770 eng	1979	1979	[16, 17]	
1606	63696	The Deadly salt of the earth	The UNESCO Courier: a window open on the world XV, 12 p. 12-16, illus. 78133 eng	 78133 eng	1962	1962	[12, 13, 14, 15, 16]	
1607	62569	The Deadly snails of Dongfeng: how a Chinese community vanquished schistosomiasis	The UNESCO Courier: a window open on the world XXXVIII, 1 p. 31-34, illus. 62603 eng	 62603 eng	1985	1985	[31, 32, 33, 34]	Article based on a longer study first pub. by Earthscan, London
1608	69425	Dear Jenny, a father brings the UN's ten years into perspective for his 15 year old daughter	The UNESCO Courier: a window open on the world VIII, 10 p. 4-18, illus. 78145 eng	 78145 eng	1955	1955	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	Published in 3 editions
1609	71128	Dear Stranger...'	The UNESCO Courier V, 8/9 p. 18, illus. 71135 eng	 71135 eng	1952	1952	[18]	Published in 3 editions
1610	117436	The Death penalty: abolition gains ground	The UNESCO courier 52, 10 p. 37-38, illus. 117419 eng	 117419 eng	1999	1999|Oct. 1999	[37, 38]	
1611	114718	Debt relief: a creditable solution?	The UNESCO courier 52, 1 p. 37-39, illus. 114699 eng	 114699 eng	1999	1999|Jan. 1999	[37, 38, 39]	
1612	46691	Debunking the 'black legend': a hard look at the historical role of Spain in Latin America	The UNESCO Courier: a window open on the world XXX, 8/9 p. 54-55, 58-59, illus. 74814 eng	 74814 eng	1977	1977	[54, 55]	
1613	109507	A Decade for international action	The UNESCO courier: a window open on the world 50, 10 p. 8-9, illus. 109505 eng	 109505 eng	1997	1997|Oct. 1997	[8, 9]	
1614	81624	December 10, 1950: world figures greet second anniversary of the Universal Declaration of Human Rights	The UNESCO Courier III, 11 p. 5, ports. 81616 eng	 81616 eng	1950	1950|Dec. 1950	[5]	Published in 3 editions
1615	74950	December 10: a day to remember every day	The UNESCO Courier II, 12 p. 4, illus. 74946 eng	 74946 eng	1950	1950	[4]	Published in 3 editions
1617	81687	The Decimal system	The UNESCO Courier: a window open on the world XLI, 10 p. 21 81712 eng	 81712 eng	1988	1988	[21]	Abridged article from 'China, land of discovery and invention' by Robert K.G. Temple, American science writer, based on 'Science and civilisation in China', Cambridge University Press, 1954- , the results of Joseph Needham's investigations and those of his colleagues at the Needham Research Institute, to be complete in 25 vols.
1618	44817	The Decision-makers	The UNESCO Courier: a window open on the world XXXII, 11 p. 34, illus. 74780 eng	 74780 eng	1979	1979	[34]	
1619	113627	A Decisive victory	The UNESCO courier 51, 10 p. 29-31, illus. 113615 eng	 113615 eng	1998	1998|Oct. 1998	[29, 30, 31]	
1620	109300	Declaration by Federico Mayor: the human right to peace	The UNESCO courier: a window open on the world 50, 7/8 p. 73-75, illus. 109515 eng	 109515 eng	1997	1997|July/Aug. 1997	[73, 74, 75]	
1621	44768	The Declaration of Athens: scientists speak out against racism	The UNESCO Courier: a window open on the world XXXIV, 5 p. 28 74739 eng	 74739 eng	1981	1981	[28]	"Also reproduced as doc. SS.81/WS/31 dated 3 Apr. 1981 entitled ""UNESCO and the struggle against racism; Athens appeal, Apr. 1981"""
1622	44012	Declaration of the rights of the child	The UNESCO Courier: a window open on the world XXXII, 1 p. 18-19 74768 eng	 74768 eng	1979	1979	[18, 19]	
1623	64848	Declaration of the Rights of the Child	The UNESCO Courier: a window open on the world XIII, 11 p. 14-21, illus. 78176 eng	 78176 eng	1960	1960	[14, 15, 16, 17, 18, 19, 20, 21]	Published in 4 editions
1624	70462	Declaration of the Rights of the Child	The UNESCO Courier: a window open on the world X, 10 p. 2 67949 eng	 67949 eng	1957	1957	[2]	Published in 4 editions
1625	81706	Declination of the earth's magnetic field	The UNESCO Courier: a window open on the world XLI, 10 p. 29, illus. 81712 eng	 81712 eng	1988	1988	[29]	Abridged article from 'China, land of discovery and invention' by Robert K.G. Temple, American science writer, based on 'Science and civilisation in China', Cambridge University Press, 1954- , the results of Joseph Needham's investigations and those of his colleagues at the Needham Research Institute, to be complete in 25 vols.
1626	46619	Decoding the message of African sculpture	The UNESCO Courier: a window open on the world XXX, 5 p. 12-15, 20, illus. 74811 eng	 74811 eng	1977	1977	[12, 13, 14, 15]	
1627	185993	Decolonizing history	The UNESCO courier 8 p. 8-10, illus. 185864 eng	 185864 eng	2009	2009|2009	[8, 9, 10]	
1629	186528	The Deep dive syndrome	The UNESCO courier 1 p. 3-5, illus. 186515 eng	 186515 eng	2009	2009|2009	[3, 4, 5]	
